name	1 HepG2 CMV	2 HepG2 CMV HDAC5	3 HepG2 HDAC5	4 293T CMV	5 293T CMV HDAC5	6 293T HDAC5	7 293T CMV HDAC5 H1006Y	8 293T HDAC5 H1006Y	9 293T Core	10 293T Core HDAC5	11 293T C-S- Core	12 293T C-S- Core HDAC5	13 HepDE19 +tet	14 HepDE19 -tet	15 BSA	16 Blank
GRP75_HUMAN	2	1	1	6	6	3	4	8	5	5	7	3	2	2	0	0
HBA_HUMAN	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0	1
"HS71A_HUMAN,HS71B_HUMAN"	1	0	0	6	9	5	11	8	7	11	7	8	1	0	0	0
HS90B_HUMAN	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSP7C_HUMAN	1	1	0	7	12	7	8	9	10	8	10	9	3	4	0	0
IF2B1_HUMAN	2	1	1	2	5	2	4	4	3	3	4	5	1	4	0	0
K1C10_HUMAN	9	5	9	12	18	8	13	18	16	20	15	16	12	11	5	7
K1C9_HUMAN	12	9	13	18	17	13	6	21	17	20	13	14	13	8	8	11
K22E_HUMAN	7	2	3	15	10	3	11	15	16	15	13	16	11	6	2	6
K2C1_HUMAN	16	11	14	25	31	13	15	34	23	30	20	22	27	14	5	15
K2C1B_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K2C5_HUMAN	2	2	3	7	6	2	1	3	3	4	4	4	5	5	1	1
K2C8_HUMAN	1	1	1	1	0	2	1	2	3	1	3	0	0	1	0	0
MK_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO3A_HUMAN	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1
NET4_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PATL1_HUMAN	1	1	2	0	0	1	0	1	1	0	1	1	1	1	0	0
PCLO_HUMAN	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
PGAM5_HUMAN	1	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0
PGK1_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PI3R6_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDX1_HUMAN	1	1	1	1	0	0	0	0	0	0	0	0	3	0	0	0
PRDX4_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
RGN_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL23A_HUMAN	2	0	0	2	2	1	2	1	3	3	3	4	2	2	0	0
RL7_HUMAN	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RM14_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ROA3_HUMAN	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RS13_HUMAN	1	0	0	1	2	0	3	0	1	4	1	4	0	0	0	0
RS17_HUMAN	2	1	1	1	1	1	1	0	0	1	1	2	2	1	0	0
RS18_HUMAN	7	8	8	6	6	7	6	6	7	5	7	7	6	5	0	0
RS19_HUMAN	1	1	0	0	0	1	1	0	1	1	1	1	0	1	0	0
RS25_HUMAN	2	2	3	4	2	2	3	2	3	3	2	3	4	3	0	0
RS27A_HUMAN	2	1	0	8	8	2	8	6	4	7	7	7	3	2	0	0
RS3_HUMAN	1	1	1	2	1	1	2	2	3	1	2	2	1	1	0	0
RS30_HUMAN	2	1	1	4	3	1	2	2	3	4	2	3	2	1	0	0
RS4X_HUMAN	1	0	0	1	2	1	2	1	1	2	1	1	1	0	0	0
SAHH_HUMAN	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SMD3_HUMAN	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0
SRSF1_HUMAN	1	1	0	3	2	1	4	0	1	4	2	2	0	2	0	0
TBB5_HUMAN	1	0	0	2	4	1	3	2	3	3	3	3	1	0	0	0
TFAM_HUMAN	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
TRY1_HUMAN	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0
WDR18_HUMAN	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
1433T_HUMAN	0	0	0	1	1	1	2	1	1	1	1	1	0	0	0	0
1433Z_HUMAN	0	0	0	1	1	1	1	2	0	2	1	1	0	0	0	0
ACTA_HUMAN	0	0	0	0	2	0	2	1	0	2	2	0	0	0	0	0
ACTB_HUMAN	0	0	0	4	4	2	4	4	4	4	4	4	0	0	0	0
ACTG_HUMAN	0	0	0	0	4	0	4	3	4	4	4	2	0	0	0	0
ADDA_HUMAN	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0
ADT2_HUMAN	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0
ARP2_HUMAN	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0
ARP3_HUMAN	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0
ARPC4_HUMAN	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BCLF1_HUMAN	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
CALD1_HUMAN	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
"CAPSD_ASHV,CAPSD_WHV1,CAPSD_WHV2,CAPSD_WHV3,CAPSD_WHV4,CAPSD_WHV5"	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
CAPSD_HBVA5	0	0	0	2	1	0	1	0	1	1	0	1	0	1	0	0
CAPSD_HBVB3	0	0	0	0	2	0	2	0	0	1	0	2	0	0	0	0
CAPSD_HBVB8	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0
CAPSD_HBVC9	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
CAPSD_HBVD7	0	0	0	0	3	0	2	0	0	3	0	1	0	0	0	0
CAPSD_HBVGB	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0
CAPZB_HUMAN	0	0	0	2	2	3	3	4	4	2	2	1	0	0	0	0
CAZA1_HUMAN	0	0	0	1	6	1	3	6	4	6	3	2	0	0	0	0
"CBSL_HUMAN,CBS_HUMAN"	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0
CLK2_HUMAN	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
COF1_HUMAN	0	0	0	0	1	1	1	0	0	1	2	2	0	0	0	0
COR1C_HUMAN	0	0	0	1	1	2	1	1	1	1	1	1	0	0	0	0
CPSF5_HUMAN	0	0	0	2	1	1	0	1	2	1	1	1	1	0	0	0
DCD_HUMAN	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0
DCP2_HUMAN	0	0	0	1	3	1	3	5	5	4	4	3	1	0	0	0
DDX17_HUMAN	0	0	0	1	2	2	1	2	1	1	2	2	0	1	0	0
DDX3X_HUMAN	0	1	0	6	11	0	10	0	4	7	8	7	0	5	0	0
DNJB6_HUMAN	0	0	0	1	1	0	1	0	0	2	1	2	0	1	0	0
DREB_HUMAN	0	0	0	12	15	12	15	13	7	11	8	4	0	0	0	0
ECHB_HUMAN	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0
EF2_HUMAN	0	0	0	3	1	2	2	1	0	1	3	2	0	0	0	0
ERLN1_HUMAN	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
ERLN2_HUMAN	0	0	0	0	2	0	4	0	1	7	1	2	0	0	0	0
FLII_HUMAN	0	0	0	1	3	2	2	2	3	2	2	2	0	0	0	0
G3P_HUMAN	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0
GELS_HUMAN	0	0	0	9	3	3	8	1	0	16	7	0	0	0	0	0
GIPC1_HUMAN	0	0	0	4	3	0	4	0	3	2	4	4	0	0	0	0
H12_HUMAN	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0
H1X_HUMAN	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0
H2B1A_HUMAN	0	0	0	1	1	0	1	0	1	1	1	1	0	1	0	0
HDAC5_HUMAN	0	1	0	0	14	11	10	11	0	8	0	4	0	0	0	0
HELZ_HUMAN	0	0	0	3	1	6	2	6	5	1	4	4	2	3	0	0
HNRPC_HUMAN	0	0	0	1	0	0	2	0	1	2	1	1	0	0	0	0
HNRPK_HUMAN	0	0	1	1	1	1	2	2	2	2	1	1	0	0	0	0
HNRPU_HUMAN	0	0	0	2	0	0	1	2	2	1	1	1	2	0	0	0
IF4B_HUMAN	0	0	0	1	1	0	1	0	0	1	1	2	0	0	0	0
ILF2_HUMAN	0	0	0	1	2	0	2	2	2	4	1	1	0	0	0	0
IMDH2_HUMAN	0	0	0	2	2	0	4	0	0	1	2	1	0	0	0	0
K1C14_HUMAN	0	0	1	2	1	1	1	1	1	2	1	1	1	1	0	0
K1C16_HUMAN	0	0	0	1	0	1	0	0	1	3	0	2	0	0	0	0
K1C18_HUMAN	0	0	0	4	2	4	3	6	5	4	5	2	2	0	0	0
K2C6A_HUMAN	0	0	2	0	0	1	0	0	0	2	0	2	0	0	0	2
KPYM_HUMAN	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0
LC7L2_HUMAN	0	0	0	1	2	0	1	0	1	1	0	0	0	0	0	0
LIMA1_HUMAN	0	0	0	18	26	17	24	23	11	16	23	7	0	0	0	0
LRRF2_HUMAN	0	0	0	3	6	1	6	4	3	10	8	6	0	0	0	0
"ML12A_HUMAN,ML12B_HUMAN"	0	0	0	10	15	7	10	10	10	12	9	9	2	1	1	0
MLF2_HUMAN	0	0	0	2	2	0	2	0	1	1	1	1	0	2	0	0
MPRIP_HUMAN	0	0	0	6	27	20	12	27	7	7	11	1	0	0	0	0
MYH10_HUMAN	0	0	0	33	100	28	71	77	51	69	59	51	0	0	0	0
MYH14_HUMAN	0	0	0	9	28	7	19	17	13	17	15	11	0	0	0	0
MYH9_HUMAN	0	0	0	113	204	91	168	198	128	167	155	146	8	0	0	0
MYL6_HUMAN	0	0	0	9	8	4	10	7	11	14	10	11	0	0	0	0
MYL6B_HUMAN	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0
MYO1B_HUMAN	0	0	0	1	11	3	9	13	0	2	4	0	0	0	0	0
MYO1C_HUMAN	0	0	0	0	9	3	6	4	0	4	2	0	0	0	0	0
MYO1D_HUMAN	0	0	0	2	5	4	4	5	0	1	2	0	0	0	0	0
MYO6_HUMAN	0	0	0	9	29	12	16	19	11	12	13	4	0	0	0	0
MYPT1_HUMAN	0	0	0	4	5	4	4	6	1	1	2	0	0	0	0	0
NFL_HUMAN	0	0	0	10	8	5	7	10	8	9	9	4	0	0	0	0
NFM_HUMAN	0	0	0	11	13	10	14	30	14	16	14	10	0	0	0	0
NUCL_HUMAN	0	0	0	3	1	2	3	1	3	3	2	3	0	0	0	0
PABP1_HUMAN	0	0	1	1	2	3	2	2	3	1	2	2	0	2	0	0
PABP4_HUMAN	0	0	0	1	1	1	1	1	1	1	1	1	1	2	0	0
PARP1_HUMAN	0	0	0	2	8	6	4	0	2	4	3	3	0	1	0	0
PHB_HUMAN	0	0	0	0	7	0	7	0	0	7	0	7	0	0	0	0
PHB2_HUMAN	0	2	0	0	4	0	5	0	0	6	0	7	0	0	0	0
PIMT_HUMAN	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0
PIN1_HUMAN	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PLST_HUMAN	0	0	0	2	1	1	4	2	2	3	4	1	0	0	0	0
PP1G_HUMAN	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0
PTBP1_HUMAN	0	0	0	1	2	1	1	1	1	1	1	1	0	0	0	0
PUR6_HUMAN	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
RAI14_HUMAN	0	0	0	3	18	21	7	28	3	5	4	0	0	0	0	0
RBBP4_HUMAN	0	0	0	2	0	0	2	0	1	2	2	2	1	0	0	0
RBMX_HUMAN	0	0	0	5	5	1	5	0	5	5	3	6	0	0	0	0
REEP3_HUMAN	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RL10A_HUMAN	0	0	0	2	1	0	2	0	2	3	3	3	0	0	0	0
RL11_HUMAN	0	0	0	1	2	1	2	2	1	2	1	1	0	0	0	0
RL12_HUMAN	0	0	0	3	3	1	3	3	4	2	4	2	0	0	0	0
RL13_HUMAN	0	0	0	2	1	0	3	0	1	2	3	2	0	0	0	0
RL18A_HUMAN	0	0	0	2	1	1	1	0	1	1	1	1	0	0	0	0
RL22_HUMAN	0	0	0	1	2	2	1	1	2	2	2	2	0	0	0	0
RL23_HUMAN	0	0	0	0	2	0	1	1	1	1	1	1	1	0	0	0
RL30_HUMAN	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
RL31_HUMAN	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0
RL35_HUMAN	0	1	0	1	1	0	1	1	1	1	0	2	0	0	0	0
RL38_HUMAN	0	0	0	1	1	0	1	1	1	1	2	2	1	0	0	0
RL8_HUMAN	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
RLA0_HUMAN	0	0	0	1	4	1	2	1	1	2	1	1	0	0	0	0
RNF5_HUMAN	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0
RO52_HUMAN	0	1	3	3	3	3	2	2	2	4	4	3	0	3	0	0
ROA0_HUMAN	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ROA2_HUMAN	0	0	0	0	1	0	1	0	0	2	1	1	0	0	0	0
RS14_HUMAN	0	0	0	2	1	2	1	2	2	1	1	0	0	0	0	0
RS16_HUMAN	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0
RS20_HUMAN	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0
RS29_HUMAN	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0
RS3A_HUMAN	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0
RUVB1_HUMAN	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0
SERA_HUMAN	0	0	0	4	2	3	1	1	1	1	2	3	0	0	0	0
SRPK1_PONAB	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0
SRS10_HUMAN	0	0	0	3	4	0	3	0	4	4	3	3	0	1	0	0
SRSF3_HUMAN	0	0	0	1	1	0	1	0	0	2	0	1	0	0	0	0
TBA1B_HUMAN	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0
TBB4B_HUMAN	0	0	0	2	2	1	2	3	2	3	1	1	0	0	0	0
TCPQ_HUMAN	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0
TMM33_HUMAN	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0
TMOD3_HUMAN	0	0	0	4	8	3	10	8	5	12	11	7	0	0	0	0
TOM1_HUMAN	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0
TPM1_HUMAN	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0
TPM3_HUMAN	0	0	0	1	0	0	1	0	2	1	2	1	0	0	0	0
TPM4_HUMAN	0	0	0	2	0	0	1	1	3	1	2	2	0	0	0	0
VIME_HUMAN	0	0	0	57	74	57	69	104	63	76	74	60	8	2	3	3
XRN1_HUMAN	0	0	0	0	0	0	1	2	1	1	1	2	3	1	0	0
YBOX1_HUMAN	0	0	0	1	3	1	3	3	1	3	1	3	0	0	0	0
YBOX3_HUMAN	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
AINX_HUMAN	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0
ANM5_HUMAN	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
ARI1_HUMAN	0	0	0	2	2	0	2	0	0	0	2	2	0	0	0	0
CTRO_HUMAN	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ECHA_HUMAN	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0
FLNA_HUMAN	0	0	0	3	7	2	8	7	0	0	3	0	0	0	0	0
ILF3_HUMAN	0	0	0	1	1	0	2	1	1	0	2	2	0	0	0	0
KHDR1_HUMAN	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
LARP1_HUMAN	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0
MLF1_HUMAN	0	0	0	1	2	0	2	0	0	0	1	1	0	0	0	0
MYO5A_HUMAN	0	0	0	0	7	2	2	3	0	0	3	0	0	0	0	0
P25705-DECOY	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0
PAWR_HUMAN	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0
PCBP2_HUMAN	0	0	0	0	2	1	1	0	0	0	1	2	0	0	0	0
POTEI_HUMAN	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
PRDX6_HUMAN	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
RFA1_HUMAN	0	0	0	7	12	0	9	0	0	0	7	6	0	0	0	0
RFA2_HUMAN	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0
RL21_HUMAN	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
RL24_HUMAN	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
RS7_HUMAN	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0
S7A6O_HUMAN	0	0	0	2	2	0	2	0	0	0	1	2	0	0	0	0
SSBP_HUMAN	0	0	0	1	2	0	1	0	0	0	1	1	1	0	0	0
TCPD_HUMAN	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0
TCPG_HUMAN	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
XRCC6_HUMAN	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ZN618_HUMAN	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
ANXA2_HUMAN	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
CCNB1_HUMAN	0	0	0	0	3	0	3	0	0	0	0	1	0	0	0	0
CDK1_HUMAN	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0
EMD_HUMAN	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0
IF4A1_HUMAN	0	0	0	0	3	0	1	0	0	0	0	1	1	0	0	0
K1C17_HUMAN	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0
K2C6B_HUMAN	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1
MYH16_HUMAN	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PP1B_HUMAN	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0
PSMD2_HUMAN	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
S10A8_HUMAN	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
S10A9_HUMAN	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0
"SPR1A_HUMAN,SPR1B_HUMAN"	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
"SPR2A_HUMAN,SPR2B_HUMAN,SPR2D_HUMAN,SPR2E_HUMAN,SPR2G_HUMAN"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SRSF6_HUMAN	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
TRI26_HUMAN	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0
"U2AF1_HUMAN,U2AF5_HUMAN"	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ZN428_HUMAN	0	0	0	2	1	0	1	0	0	0	0	2	0	0	0	0
ATPA_HUMAN	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0
CRKL_HUMAN	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
DHRS2_HUMAN	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
FMR1_HUMAN	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GRN_HUMAN	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
IF2B3_HUMAN	0	0	1	0	0	0	0	0	1	0	0	0	2	2	0	0
PCM1_HUMAN	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
PEG10_HUMAN	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0
RS23_HUMAN	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ACTBL_HUMAN	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
ATD3A_HUMAN	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0
CAPR1_HUMAN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"CTBP1_HUMAN,CTBP2_HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DHCR7_HUMAN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GCN1_HUMAN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HBSAG_HBVD3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LG3BP_HUMAN	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
PELP1_HUMAN	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
RBM14_HUMAN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SARAF_HUMAN	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
SP130_HUMAN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
K2C78_HUMAN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AATM_HUMAN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAG2_HUMAN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HBB_HUMAN,HBD_HUMAN"	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
IF2B2_HUMAN	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTC_HUMAN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL37A_HUMAN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBP7_HUMAN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
